,Product_Name,Source,Ratings,Brand,Price,Actual_price,Category
0,CYNIX Intel Core i5 10400 8 GB/ 500 GB HDD/ DOS,https://assets-mkpbg.gem.gov.in/img/othe/3088134/c7/0b/cynix1.jpg.6613bac70b.999x185x185.jpg,3.5 - 3.99,CYNIX,"9,000.00","100,000.00",Desktop PC
1,acer Intel Core i5 12400 8 GB/ 0 GB HDD/ Windows 11 Professional,https://assets-mkpbg.gem.gov.in/img/othe/6827336/ee/e5/sff9.5l.png.f94e4deee5.999x185x185.jpg,4.0 - 4.49,acer,"9,391.00","95,000.00",Desktop PC
2,acer Intel Core i5 12400 8 GB/ 1000 GB HDD/ Windows 11 Professional,https://assets-mkpbg.gem.gov.in/img/othe/6827336/4f/b6/dtmtchassi26l.png.fdd8ae4fb6.999x185x185.jpg,4.0 - 4.49,acer,"9,810.00","109,000.00",Desktop PC
3,acer Intel Core i5 12400 8 GB/ 1000 GB HDD/ Windows 10 Professional,https://assets-mkpbg.gem.gov.in/img/othe/6827336/ee/e5/sff9.5lcopycopy.png.f94e4deee5.999x185x185.jpg,4.0 - 4.49,acer,"9,900.00","110,000.00",Desktop PC
4,acer Intel Core i5 12400 8 GB/ 1000 GB HDD/ Windows 11 Professional,https://assets-mkpbg.gem.gov.in/img/othe/6827336/ee/e5/sff9.5l.png.f94e4deee5.999x185x185.jpg,4.0 - 4.49,acer,"9,900.00","110,000.00",Desktop PC
5,acer Intel Core i5 12400 8 GB/ 1000 GB HDD/ Windows 11 Home,https://assets-mkpbg.gem.gov.in/img/othe/6827336/ee/e5/sff9.5l.png.f94e4deee5.999x185x185.jpg,4.0 - 4.49,acer,"9,900.00","110,000.00",Desktop PC
6,acer Intel Core i5 12400 16 GB/ 0 GB HDD/ Windows 10 Professional,https://assets-mkpbg.gem.gov.in/img/othe/6827336/ee/e5/sff9.5lcopycopy.png.f94e4deee5.999x185x185.jpg,4.0 - 4.49,acer,"9,900.00","110,000.00",Desktop PC
7,acer Intel Core i5 12400 8 GB/ 1000 GB HDD/ Windows 10 Professional,https://assets-mkpbg.gem.gov.in/img/othe/6827336/ee/e5/sff9.5l.png.f94e4deee5.999x185x185.jpg,4.0 - 4.49,acer,"9,900.00","110,000.00",Desktop PC
8,acer Intel Core i5 12400 8 GB/ 0 GB HDD/ Windows 11 Professional,https://assets-mkpbg.gem.gov.in/img/othe/6827336/ee/e5/sff9.5l.png.f94e4deee5.999x185x185.jpg,4.0 - 4.49,acer,"9,900.00","110,000.00",Desktop PC
9,acer Intel Core i5 12400 16 GB/ 0 GB HDD/ Windows 10 Professional,https://assets-mkpbg.gem.gov.in/img/othe/6827336/ee/e5/sff9.5l.png.f94e4deee5.999x185x185.jpg,4.0 - 4.49,acer,"9,900.00","110,000.00",Desktop PC
10,CYNIX Intel Core i5 12400 8 GB/ 1000 GB HDD/ Windows 10 Professional,https://assets-mkpbg.gem.gov.in/img/othe/3088134/79/46/cynixsff1.jpg.7809f47946.999x185x185.jpg,4.5 - 5.0,CYNIX,"10,000.00","120,000.00",Desktop PC
11,CYNIX Intel Core i5 12500 8 GB/ 0 GB HDD/ Windows 10 Professional,https://assets-mkpbg.gem.gov.in/img/othe/3088134/de/0e/cynixtwr1.jpg.fd9401de0e.999x185x185.jpg,4.5 - 5.0,CYNIX,"10,000.00","120,000.00",Desktop PC
12,CYNIX Intel Core i5 12500 8 GB/ 1000 GB HDD/ Windows 11 Professional,https://assets-mkpbg.gem.gov.in/img/othe/3088134/c7/0b/cynix1.jpg.6613bac70b.999x185x185.jpg,4.5 - 5.0,CYNIX,"10,000.00","120,000.00",Desktop PC
13,acer AMD Ryzen 5 4600G 8 GB/ 1000 GB HDD/ Windows 11 Professional,https://assets-mkpbg.gem.gov.in/img/othe/6827336/4f/b6/dtmtchassi26l.png.fdd8ae4fb6.999x185x185.jpg,4.0 - 4.49,acer,"10,000.00","110,000.00",Desktop PC
14,acer Intel Core i7 12700 16 GB/ 1000 GB HDD/ DOS,https://assets-mkpbg.gem.gov.in/img/othe/6827336/ee/e5/sff9.5l.png.f94e4deee5.999x185x185.jpg,4.0 - 4.49,acer,"10,000.00","125,000.00",Desktop PC
15,acer Intel Core i5 12400 8 GB/ 1000 GB HDD/ Windows 10 Professional,https://assets-mkpbg.gem.gov.in/img/othe/6827336/4f/b6/dtmtchassi26l.png.fdd8ae4fb6.999x185x185.jpg,4.5 - 5.0,acer,"10,000.00","110,000.00",Desktop PC
16,hp Intel Core i7 12700 8 GB/ 1000 GB HDD/ Windows 11 Professional,https://assets-mkpbg.gem.gov.in/img/othe/6505504/7a/e6/280g9sff.jpg.d13f8c7ae6.999x185x185.jpg,4.0 - 4.49,hp,"10,697.00","118,867.31",Desktop PC
17,hp Intel Core i5 12400 16 GB/ 0 GB HDD/ Windows 10 Professional,https://assets-mkpbg.gem.gov.in/img/othe/6505504/cc/0e/400g7mt1.jfif.cbba94cc0e.999x185x185.jpg,4.0 - 4.49,hp,"10,751.00","111,946.36",Desktop PC
18,hp Intel Core i7 12700 8 GB/ 0 GB HDD/ Windows 11 Professional,https://assets-mkpbg.gem.gov.in/img/othe/6505504/b5/02/400g7sff1jpg.jpg.455985b502.999x185x185.jpg,4.0 - 4.49,hp,"10,768.00","119,631.64",Desktop PC
19,CYNIX Intel Core i7 10700 16 GB/ 1000 GB HDD/ Linux,https://assets-mkpbg.gem.gov.in/img/othe/3088134/c7/0b/cynix1.jpg.6613bac70b.999x185x185.jpg,1.0 - 1.49,CYNIX,"10,800.00","120,000.00",Desktop PC
20,CYNIX Intel Core i7 12700 16 GB/ 1000 GB HDD/ Windows 11 Professional,https://assets-mkpbg.gem.gov.in/img/othe/3088134/c7/0b/cynix1.jpg.6613bac70b.999x185x185.jpg,3.5 - 3.99,CYNIX,"10,800.00","120,000.00",Desktop PC
21,CYNIX Intel Core i5 10400 8 GB/ 0 GB HDD/ Windows 10 Home,https://assets-mkpbg.gem.gov.in/img/othe/3088134/c7/0b/cynix1.jpg.6613bac70b.999x185x185.jpg,1.0 - 1.49,CYNIX,"10,800.00","120,000.00",Desktop PC
22,CYNIX Intel Core i5 12400 16 GB/ 0 GB HDD/ Windows 11 Professional,https://assets-mkpbg.gem.gov.in/img/othe/3088134/c7/0b/cynix1.jpg.6613bac70b.999x185x185.jpg,1.0 - 1.49,CYNIX,"10,800.00","120,000.00",Desktop PC
23,acer Intel Core i5 12400 8 GB/ 1000 GB HDD/ Windows 10 Home,https://assets-mkpbg.gem.gov.in/img/othe/6827336/ee/e5/sff9.5l.png.f94e4deee5.999x185x185.jpg,4.0 - 4.49,acer,"10,800.00","120,000.00",Desktop PC
24,acer Intel Core i3 12100 8 GB/ 1000 GB HDD/ Windows 11 Professional,https://assets-mkpbg.gem.gov.in/img/othe/6827336/ee/e5/sff9.5l.png.f94e4deee5.999x185x185.jpg,4.0 - 4.49,acer,"10,800.00","120,000.00",Desktop PC
25,acer Intel Core i5 12400 16 GB/ 1000 GB HDD/ Windows 11 Professional,https://assets-mkpbg.gem.gov.in/img/othe/6827336/4f/b6/dtmtchassi26l.png.fdd8ae4fb6.999x185x185.jpg,4.0 - 4.49,acer,"10,891.00","110,000.00",Desktop PC
26,acer Intel Core i5 12400 8 GB/ 0 GB HDD/ Windows 11 Professional,https://assets-mkpbg.gem.gov.in/img/othe/6827336/ee/e5/sff9.5lcopycopy.png.f94e4deee5.999x185x185.jpg,4.0 - 4.49,acer,"10,891.00","110,000.00",Desktop PC
27,acer Intel Core i5 12400 8 GB/ 1000 GB HDD/ Windows 11 Professional,https://assets-mkpbg.gem.gov.in/img/othe/6827336/ee/e5/sff9.5l.png.f94e4deee5.999x185x185.jpg,4.0 - 4.49,acer,"10,891.00","110,000.00",Desktop PC
28,acer Intel Core i5 12400 8 GB/ 0 GB HDD/ Windows 11 Home,https://assets-mkpbg.gem.gov.in/img/othe/6827336/ee/e5/sff9.5l.png.f94e4deee5.999x185x185.jpg,4.0 - 4.49,acer,"10,891.00","110,000.00",Desktop PC
29,hp Intel Core i5 12500 8 GB/ 0 GB HDD/ Windows 11 Professional,https://assets-mkpbg.gem.gov.in/img/othe/6505504/90/1d/400g9tower.jpg.a20224901d.999x185x185.jpg,4.0 - 4.49,hp,"11,000.00","92,221.98",Desktop PC
30,hp Intel Core i7 12700 16 GB/ 1000 GB HDD/ Windows 11 Professional,https://assets-mkpbg.gem.gov.in/img/othe/6505504/cc/0e/400g7mt1.jfif.cbba94cc0e.999x185x185.jpg,4.0 - 4.49,hp,"11,119.00","123,455.30",Desktop PC
31,acer Intel Core i5 10400 16 GB/ 0 GB HDD/ Windows 10 Professional,https://assets-mkpbg.gem.gov.in/img/othe/6827336/ce/60/dtchassisgem1.png.1c3afcce60.999x185x185.jpg,4.5 - 5.0,acer,"11,525.00","85,000.00",Desktop PC
32,CYNIX Intel Core i5 10400 16 GB/ 1000 GB HDD/ Windows 10 Professional,https://assets-mkpbg.gem.gov.in/img/othe/3088134/de/0e/cynixtwr1.jpg.fd9401de0e.999x185x185.jpg,3.5 - 3.99,CYNIX,"12,150.00","135,000.00",Desktop PC
33,acer AMD Ryzen 7 5700G 32 GB/ 1000 GB HDD/ Windows 11 Professional,https://assets-mkpbg.gem.gov.in/img/othe/6827336/4f/b6/dtmtchassi26l.png.fdd8ae4fb6.999x185x185.jpg,4.0 - 4.49,acer,"12,500.00","135,000.00",Desktop PC
34,acer AMD Ryzen 5 4600G 16 GB/ 1000 GB HDD/ Windows 10 Professional,https://assets-mkpbg.gem.gov.in/img/othe/6827336/ee/e5/sff9.5l.png.f94e4deee5.999x185x185.jpg,4.0 - 4.49,acer,"12,500.00","125,000.00",Desktop PC
35,CYNIX Intel Core i5 10400 8 GB/ 1000 GB HDD/ Windows 10 Professional,https://assets-mkpbg.gem.gov.in/img/othe/3088134/de/0e/cynixtwr1.jpg.fd9401de0e.999x185x185.jpg,3.5 - 3.99,CYNIX,"13,500.00","150,000.00",Desktop PC
36,acer AMD Ryzen 7 5700G 32 GB/ 0 GB HDD/ Windows 10 Professional,https://assets-mkpbg.gem.gov.in/img/othe/6827336/4f/b6/dtmtchassi26l.png.fdd8ae4fb6.999x185x185.jpg,4.0 - 4.49,acer,"13,550.00","145,000.00",Desktop PC
37,acer Intel Core i7 12700 16 GB/ 1000 GB HDD/ DOS,https://assets-mkpbg.gem.gov.in/img/othe/6827336/4f/b6/dtmtchassi26l.png.fdd8ae4fb6.999x185x185.jpg,4.0 - 4.49,acer,"14,500.00","125,000.00",Desktop PC
38,hp Intel Core i7 13700 16 GB/ 0 GB HDD/ Windows 11 Professional,https://assets-mkpbg.gem.gov.in/img/othe/6505504/df/04/800g9mtimage.jpg.3f9019df04.999x185x185.jpg,4.0 - 4.49,hp,"14,879.00","165,033.10",Desktop PC
39,Dell Intel Core i5 12400 8 GB/ 1000 GB HDD/ Windows 11 Professional,https://assets-mkpbg.gem.gov.in/img/othe/2104240/d2/59/vostro3710.jfif.4aae7cd259.999x185x185.jpg,4.0 - 4.49,Dell,"15,000.00","115,098.00",Desktop PC
40,RDP Intel Core i3 12100 8 GB/ 0 GB HDD/ Windows 11 Professional,https://assets-mkpbg.gem.gov.in/img/othe/4326064/c6/aa/deskpcwindows11pro.jpg.02e089c6aa.999x185x185.jpg,4.0 - 4.49,RDP,"16,650.00","185,000.00",Desktop PC
41,RDP Intel Core i7 12700 16 GB/ 0 GB HDD/ Windows 11 Professional,https://assets-mkpbg.gem.gov.in/img/othe/4326064/c6/aa/deskpcwindows11pro.jpg.02e089c6aa.999x185x185.jpg,4.5 - 5.0,RDP,"17,000.00","185,000.00",Desktop PC
42,acer Intel Core i3 10105 4 GB/ 1000 GB HDD/ Windows 10 Professional,https://assets-mkpbg.gem.gov.in/img/othe/6827336/ce/60/dtchassisgem1.png.1c3afcce60.999x185x185.jpg,4.5 - 5.0,acer,"35,000.00","75,000.00",Desktop PC
43,VOLTRIQ Intel Core i3 12100 8 GB/ 0 GB HDD/ Windows 11 Professional,https://assets-mkpbg.gem.gov.in/img/othe/6408256/f8/65/4.jpg.f82487f865.999x185x185.jpg,4.5 - 5.0,VOLTRIQ,"19,500.00","75,900.00",Desktop PC
44,acer AMD Ryzen 3 4300G 8 GB/ 1000 GB HDD/ DOS,https://assets-mkpbg.gem.gov.in/img/othe/6827336/4f/b6/dtmtchassi26l.png.fdd8ae4fb6.999x185x185.jpg,4.5 - 5.0,acer,"20,000.00","85,000.00",Desktop PC
45,acer AMD Ryzen 3 4300G 8 GB/ 1000 GB HDD/ Windows 10 Professional,https://assets-mkpbg.gem.gov.in/img/othe/6827336/ce/60/dtchassisgem1.png.1c3afcce60.999x185x185.jpg,4.5 - 5.0,acer,"21,000.00","85,000.00",Desktop PC
46,hp Intel Core i9 12900 64 GB/ 2000 GB HDD/ Windows 11 Professional,https://assets-mkpbg.gem.gov.in/img/othe/6505504/de/13/800g8towerfront.jpg.4bade9de13.999x185x185.jpg,4.5 - 5.0,hp,"23,052.00","256,141.00",Desktop PC
47,hp Intel Core i3 12100 4 GB/ 1000 GB HDD/ DOS,https://assets-mkpbg.gem.gov.in/img/othe/6505504/b4/ba/280g9tower.jpg.d87cffb4ba.999x185x185.jpg,4.0 - 4.49,hp,"24,700.00","55,393.75",Desktop PC
48,hp Intel Core i3 10100 4 GB/ 0 GB HDD/ Windows 11 Home,https://assets-mkpbg.gem.gov.in/img/othe/6505504/92/4d/280g6front.jpg.b741b7924d.999x185x185.jpg,4.0 - 4.49,hp,"24,800.00","64,803.00",Desktop PC
49,hp Intel Core i3 10100 8 GB/ 0 GB HDD/ Windows 11 Professional,https://assets-mkpbg.gem.gov.in/img/othe/6505504/9f/34/280g5sff.jpg.57dbe89f34.999x185x185.jpg,4.0 - 4.49,hp,"24,900.00","73,057.98",Desktop PC
50,ewit Intel Core i5 7400 8 GB/ 1000 GB HDD/ Windows 10 Professional,https://assets-mkpbg.gem.gov.in/img/othe/6214662/c0/da/desktop.png.8f9c8e99f9.999x420x420copy2.jpg.073f4a874d.999x420x420copy2.jpg.ea1870db36.999x420x420copy2.jpg.693c2a9219.999x420x420.jpg.3ee0fac0da.999x185x185.jpg,4.5 - 5.0,ewit,"24,998.00","150,000.00",Desktop PC
51,acer Intel Core i3 10105 8 GB/ 1000 GB HDD/ Windows 10 Professional,https://assets-mkpbg.gem.gov.in/img/othe/6827336/4f/b6/dtmtchassi26l.png.fdd8ae4fb6.999x185x185.jpg,4.0 - 4.49,acer,"24,999.00","85,000.00",Desktop PC
52,acer Intel Core i3 10105 8 GB/ 1000 GB HDD/ Windows 10 Home,https://assets-mkpbg.gem.gov.in/img/othe/6827336/4f/b6/dtmtchassi26l.png.fdd8ae4fb6.999x185x185.jpg,4.0 - 4.49,acer,"48,000.00","85,000.00",Desktop PC
53,RCW Intel Core i5 11500 8 GB/ 1000 GB HDD/ Windows 10 Professional,https://assets-mkpbg.gem.gov.in/img/othe/3818663/18/9c/screenshot20230516074046copy2.png.f629bc5bca.999x420x420copy2.jpg.0763f7bb67.999x420x420copy2.jpg.d87e19d166.999x420x420copy2.jpg.5a275b08a3.999x420x420copy2.jpg.347cdf189c.999x185x185.jpg,4.0 - 4.49,RCW,"25,000.00","79,999.00",Desktop PC
54,hp AMD Ryzen 5 5600G 8 GB/ 1000 GB HDD/ Windows 11 Professional,https://assets-mkpbg.gem.gov.in/img/othe/6505504/92/4d/280g6front.jpg.b741b7924d.999x185x185.jpg,4.0 - 4.49,hp,"25,000.00","105,951.00",Desktop PC
55,hp Intel Core i5 10500 8 GB/ 1000 GB HDD/ Windows 10 Professional,https://assets-mkpbg.gem.gov.in/img/othe/6505504/f5/36/400g7mt.jpg.ce0f01f536.999x185x185.jpg,4.0 - 4.49,hp,"25,000.00","86,992.64",Desktop PC
56,hp Intel Core i7 12700 16 GB/ 1000 GB HDD/ Windows 11 Professional,https://assets-mkpbg.gem.gov.in/img/othe/6505504/90/1d/400g9tower.jpg.a20224901d.999x185x185.jpg,4.5 - 5.0,hp,"25,252.00","119,595.82",Desktop PC
57,acxxel Intel Core i3 10100 4 GB/ 1000 GB HDD/ Windows 10 Professional,https://assets-mkpbg.gem.gov.in/img/othe/5770552/1c/2f/acxxelsff1.jpg.7ec11d1c2f.999x185x185.jpg,4.0 - 4.49,acxxel,"25,500.00","45,000.00",Desktop PC
58,acer Intel Core i3 12100 8 GB/ 0 GB HDD/ Windows 11 Professional,https://assets-mkpbg.gem.gov.in/img/othe/6827336/4f/b6/dtmtchassi26l.png.fdd8ae4fb6.999x185x185.jpg,4.5 - 5.0,acer,"27,000.00","95,000.00",Desktop PC
59,hp AMD Ryzen 3 5300G 4 GB/ 1000 GB HDD/ Windows 11 Professional,https://assets-mkpbg.gem.gov.in/img/othe/6505504/9f/78/285g8mt.jfif.cd367a9f78.999x185x185.jpg,4.0 - 4.49,hp,"28,999.00","77,991.26",Desktop PC
60,Unbranded  ARREXIM Intel Core i3 7350K 8 GB/ 1000 GB HDD/ Windows 10 Professional,https://assets-mkpbg.gem.gov.in/img/othe/4123052/97/7a/desk1.jpeg.9641ad977a.999x185x185.jpg,4.5 - 5.0,Unbranded--ARREXIM,"30,000.00","99,000.00",Desktop PC
61,acer AMD Ryzen 3 3200G 8 GB/ 1000 GB HDD/ DOS,https://assets-mkpbg.gem.gov.in/img/othe/6827336/ce/60/dtchassisgem1.png.1c3afcce60.999x185x185.jpg,4.0 - 4.49,acer,"30,000.00","65,000.00",Desktop PC
62,acer Intel Core i3 10105 8 GB/ 1000 GB HDD/ Windows 10 Professional,https://assets-mkpbg.gem.gov.in/img/othe/6827336/ce/60/dtchassisgem1.png.1c3afcce60.999x185x185.jpg,4.5 - 5.0,acer,"30,000.00","85,000.00",Desktop PC
63,acer Intel Core i3 12100 8 GB/ 1000 GB HDD/ Windows 10 Professional,https://assets-mkpbg.gem.gov.in/img/othe/6827336/4f/b6/dtmtchassi26l.png.fdd8ae4fb6.999x185x185.jpg,4.5 - 5.0,acer,"59,678.25","95,000.00",Desktop PC
64,VOLTRIQ Intel Core i3 10105 8 GB/ 1000 GB HDD/ Windows 10 Professional,https://assets-mkpbg.gem.gov.in/img/othe/6408256/3f/2f/tower.1.jpeg.bdebfc3f2f.999x185x185.jpg,4.0 - 4.49,VOLTRIQ,"30,597.00","75,900.00",Desktop PC
65,VOLTRIQ Intel Core i3 10105 8 GB/ 1000 GB HDD/ Windows 10 Professional,https://assets-mkpbg.gem.gov.in/img/othe/6408256/dc/aa/whatsappimage20230801at16.53.041copy.jpeg.e45569dcaa.999x185x185.jpg,4.0 - 4.49,VOLTRIQ,"30,599.00","75,900.00",Desktop PC
66,DUGONG Intel Core i3 12100 8 GB/ 0 GB HDD/ DOS,https://assets-mkpbg.gem.gov.in/img/othe/1172742/8f/ef/prosceniumfrontamdcombokri1.png.03afa48fef.999x185x185.jpg,4.5 - 5.0,DUGONG,"30,599.99","120,000.00",Desktop PC
67,acer Intel Core i3 10105 8 GB/ 1000 GB HDD/ Windows 10 Professional,https://assets-mkpbg.gem.gov.in/img/othe/6827336/ce/60/dtchassisgem1.png.1c3afcce60.999x185x185.jpg,4.0 - 4.49,acer,"30,600.00","90,000.00",Desktop PC
68,VOLTRIQ Intel Core i3 10105 8 GB/ 1000 GB HDD/ Windows 10 Professional,https://assets-mkpbg.gem.gov.in/img/othe/6408256/3f/2f/tower.1.jpeg.bdebfc3f2f.999x185x185.jpg,4.0 - 4.49,VOLTRIQ,"31,324.00","75,900.00",Desktop PC
69,DUGONG Intel Core i3 12100 4 GB/ 1000 GB HDD/ DOS,https://assets-mkpbg.gem.gov.in/img/othe/1172742/8f/ef/prosceniumfrontamdcombokri1.png.03afa48fef.999x185x185.jpg,4.0 - 4.49,DUGONG,"31,669.12","90,000.00",Desktop PC
70,acer Intel Core i3 10105 4 GB/ 1000 GB HDD/ Windows 10 Professional,https://assets-mkpbg.gem.gov.in/img/othe/6827336/ce/60/dtchassisgem1.png.1c3afcce60.999x185x185.jpg,4.5 - 5.0,acer,"31,897.00","75,000.00",Desktop PC
71,VOLTRIQ Intel Core i3 10105 4 GB/ 1000 GB HDD/ Windows 10 Professional,https://assets-mkpbg.gem.gov.in/img/othe/6408256/3f/2f/tower.1.jpeg.bdebfc3f2f.999x185x185.jpg,4.0 - 4.49,VOLTRIQ,"31,898.00","75,900.00",Desktop PC
72,hp Intel Core i3 10100 4 GB/ 1000 GB HDD/ Windows 10 Home,https://assets-mkpbg.gem.gov.in/img/othe/6505504/90/bf/280g8mt.jfif.29c6aa90bf.999x185x185.jpg,4.0 - 4.49,hp,"33,333.00","69,100.10",Desktop PC
73,acer Intel Core i3 10105 4 GB/ 1000 GB HDD/ Windows 10 Professional,https://assets-mkpbg.gem.gov.in/img/othe/6827336/ce/60/dtchassisgem1.png.1c3afcce60.999x185x185.jpg,4.5 - 5.0,acer,"44,990.00","75,000.00",Desktop PC
74,acer Intel Core i3 12100 8 GB/ 0 GB HDD/ Windows 11 Professional,https://assets-mkpbg.gem.gov.in/img/othe/6827336/4f/b6/dtmtchassi26l.png.fdd8ae4fb6.999x185x185.jpg,4.5 - 5.0,acer,"45,450.00","95,000.00",Desktop PC
75,VOLTRIQ Intel Core i3 10105 4 GB/ 1000 GB HDD/ Windows 10 Professional,https://assets-mkpbg.gem.gov.in/img/othe/6408256/3f/2f/tower.1.jpeg.bdebfc3f2f.999x185x185.jpg,4.0 - 4.49,VOLTRIQ,"31,969.00","75,900.00",Desktop PC
76,CMPL  COMPUTRONICS MULTIVISION PRIVATE LIMITED Intel Core i3 10100 4 GB/ 1000 GB HDD/ DOS,https://assets-mkpbg.gem.gov.in/img/othe/6244004/b1/68/n1.jpg.e01c4eb168.999x185x185.jpg,4.0 - 4.49,CMPL--COMPUTRONICS MULTIVISION PRIVATE LIMITED,"32,000.00","42,000.00",Desktop PC
77,CMPL  COMPUTRONICS MULTIVISION PRIVATE LIMITED Intel Core i3 10105F 4 GB/ 0 GB HDD/ Windows 11 Home,https://assets-mkpbg.gem.gov.in/img/othe/6244004/b1/68/n1.jpg.e01c4eb168.999x185x185.jpg,4.0 - 4.49,CMPL--COMPUTRONICS MULTIVISION PRIVATE LIMITED,"32,000.00","38,666.00",Desktop PC
78,CYNIX Intel Core i3 10100 8 GB/ 1000 GB HDD/ Windows 10 Professional,https://assets-mkpbg.gem.gov.in/img/othe/3088134/c3/e3/cynixtwr1.jpg.049ea5c3e3.999x185x185.jpg,4.0 - 4.49,CYNIX,"32,000.00","80,000.00",Desktop PC
79,hp AMD Ryzen 3 4300G 4 GB/ 1000 GB HDD/ Windows 10 Professional,https://assets-mkpbg.gem.gov.in/img/othe/6505504/04/89/285g6mt.jpg.107ade0489.999x185x185.jpg,4.5 - 5.0,hp,"32,320.00","68,667.62",Desktop PC
80,acer Intel Core i3 10105 8 GB/ 0 GB HDD/ Windows 11 Professional,https://assets-mkpbg.gem.gov.in/img/othe/6827336/4f/b6/dtmtchassi26l.png.fdd8ae4fb6.999x185x185.jpg,4.5 - 5.0,acer,"32,388.00","99,000.00",Desktop PC
81,acer Intel Core i3 10105 8 GB/ 0 GB HDD/ Windows 11 Professional,https://assets-mkpbg.gem.gov.in/img/othe/6827336/ce/60/dtchassisgem1.png.1c3afcce60.999x185x185.jpg,4.5 - 5.0,acer,"32,391.00","95,000.00",Desktop PC
82,acer Intel Core i3 10105 8 GB/ 0 GB HDD/ Windows 11 Professional,https://assets-mkpbg.gem.gov.in/img/othe/6827336/ce/60/dtchassisgem1.png.1c3afcce60.999x185x185.jpg,4.5 - 5.0,acer,"32,392.00","75,000.00",Desktop PC
83,VOLTRIQ Intel Core i3 10105 8 GB/ 0 GB HDD/ Windows 11 Professional,https://assets-mkpbg.gem.gov.in/img/othe/6408256/f8/65/4.jpg.f82487f865.999x185x185.jpg,4.0 - 4.49,VOLTRIQ,"32,393.00","75,900.00",Desktop PC
84,acer AMD Ryzen 3 4300G 8 GB/ 0 GB HDD/ DOS,https://assets-mkpbg.gem.gov.in/img/othe/6827336/4f/b6/dtmtchassi26l.png.fdd8ae4fb6.999x185x185.jpg,4.5 - 5.0,acer,"33,494.00","95,000.00",Desktop PC
85,acer Intel Core i3 10105 8 GB/ 0 GB HDD/ Windows 10 Professional under Microsoft Shape the Future Program,https://assets-mkpbg.gem.gov.in/img/othe/6827336/4f/b6/dtmtchassi26l.png.fdd8ae4fb6.999x185x185.jpg,4.5 - 5.0,acer,"40,700.00","95,000.00",Desktop PC
86,VOLTRIQ Intel Core i3 12100 8 GB/ 0 GB HDD/ Windows 11 Professional,https://assets-mkpbg.gem.gov.in/img/othe/6408256/f8/65/4.jpg.f82487f865.999x185x185.jpg,4.0 - 4.49,VOLTRIQ,"32,399.00","75,900.00",Desktop PC
87,CMPL  COMPUTRONICS MULTIVISION PRIVATE LIMITED Intel Core i3 12100 8 GB/ 0 GB HDD/ Windows 11 Professional,https://assets-mkpbg.gem.gov.in/img/othe/6244004/a2/2a/tower1.jpg.646cf9a22a.999x185x185.jpg,4.0 - 4.49,CMPL--COMPUTRONICS MULTIVISION PRIVATE LIMITED,"32,400.00","42,000.00",Desktop PC
88,CMPL  COMPUTRONICS MULTIVISION PRIVATE LIMITED Intel Core i3 10105F 4 GB/ 0 GB HDD/ Windows 11 Home,https://assets-mkpbg.gem.gov.in/img/othe/6244004/b1/68/n1.jpg.e01c4eb168.999x185x185.jpg,4.0 - 4.49,CMPL--COMPUTRONICS MULTIVISION PRIVATE LIMITED,"32,500.00","39,500.00",Desktop PC
89,acer AMD Ryzen 3 4300G 8 GB/ 0 GB HDD/ Windows 10 Professional,https://assets-mkpbg.gem.gov.in/img/othe/6827336/ce/60/dtchassisgem1.png.1c3afcce60.999x185x185.jpg,4.5 - 5.0,acer,"32,500.00","75,000.00",Desktop PC
90,acer Intel Core i3 10105 8 GB/ 0 GB HDD/ Windows 10 Professional,https://assets-mkpbg.gem.gov.in/img/othe/6827336/ce/60/dtchassisgem1.png.1c3afcce60.999x185x185.jpg,4.5 - 5.0,acer,"32,900.00","75,000.00",Desktop PC
91,VOLTRIQ Intel Core i3 10105 8 GB/ 0 GB HDD/ Windows 10 Professional,https://assets-mkpbg.gem.gov.in/img/othe/6408256/fa/31/towerwin10.png.0d07c9fa31.999x185x185.jpg,4.0 - 4.49,VOLTRIQ,"32,907.00","75,900.00",Desktop PC
92,acer AMD Ryzen 3 PRO 3200G 4 GB/ 1000 GB HDD/ Windows 10 Professional,https://assets-mkpbg.gem.gov.in/img/othe/6827336/ce/60/dtchassisgem1.png.1c3afcce60.999x185x185.jpg,4.0 - 4.49,acer,"33,335.00","52,990.00",Desktop PC
93,acer AMD Ryzen 3 4300G 4 GB/ 0 GB HDD/ Windows 10 Professional,https://assets-mkpbg.gem.gov.in/img/othe/6827336/ce/60/dtchassisgem1.png.1c3afcce60.999x185x185.jpg,4.0 - 4.49,acer,"33,418.00","75,000.00",Desktop PC
94,acer AMD Ryzen 3 PRO 3200G 4 GB/ 500 GB HDD/ Windows 10 Professional,https://assets-mkpbg.gem.gov.in/img/othe/6827336/ce/60/dtchassisgem1.png.1c3afcce60.999x185x185.jpg,4.0 - 4.49,acer,"33,580.00","81,000.00",Desktop PC
95,VOLTRIQ Intel Core i3 10105 8 GB/ 1000 GB HDD/ Windows 10 Professional,https://assets-mkpbg.gem.gov.in/img/othe/6408256/d7/be/tower..1.jpg.d10d63d7be.999x185x185.jpg,4.0 - 4.49,VOLTRIQ,"32,951.00","75,900.00",Desktop PC
96,acer Intel Core i3 10105 8 GB/ 1000 GB HDD/ Windows 10 Professional,https://assets-mkpbg.gem.gov.in/img/othe/6827336/ce/60/dtchassisgem1.png.1c3afcce60.999x185x185.jpg,3.5 - 3.99,acer,"32,953.00","75,000.00",Desktop PC
